read_index	read_name	fast5_path	model_name	strand	num_events	num_steps	num_skips	num_stays	total_duration	shift	scale	drift	var
10	2deeb7e9-559e-4e8d-bb79-680b9ef83563	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_2718_ch_206_strand.fast5		template	3129	1454	29	1645	20.02	-1.165	1.005	0.0	1.33
11	837ca370-6b27-41fe-b794-fa6eee48f45f	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_8940_ch_323_strand.fast5		template	3027	1435	35	1556	20.28	1.4469999999999998	1.01	0.0	1.2790000000000001
12	dbe27531-1f1c-4347-99cf-ea9687a4e510	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_8267_ch_412_strand.fast5		template	3099	1383	48	1667	19.71	1.53	0.986	0.0	1.317
13	5bfff971-6923-47c6-a3d4-3d3b4ba1c966	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_13554_ch_3_strand.fast5		template	4984	1430	34	3519	33.3	1.385	0.9890000000000001	0.0	1.23
14	b4b7c151-cbd2-4943-a203-fd9887789605	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_4933_ch_406_strand.fast5		template	3543	1398	43	2101	24.12	-1.25	0.99	0.0	1.209
15	59f33f17-1613-459f-b6ca-87e2d42bd594	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10215_ch_220_strand.fast5		template	3461	1422	41	1997	21.29	0.41	0.996	0.0	1.21
16	5e061452-c09e-4f0c-becf-470bf5336e50	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_984_ch_476_strand.fast5		template	3190	1402	41	1746	21.08	-1.082	1.002	0.0	1.3219999999999998
17	33d12010-958c-4427-82d9-4a33ca876e1b	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6084_ch_116_strand.fast5		template	3421	1443	36	1941	23.38	0.141	1.031	0.0	1.2990000000000002
18	222acc57-864c-4e6f-87ce-a2d0e48537d4	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1228_ch_29_strand.fast5		template	3314	1418	30	1865	21.2	6.667000000000001	1.002	0.0	1.286
19	39bb26f2-254a-41ef-9d1b-944d4693c35a	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_18450_ch_239_strand.fast5		template	4107	1323	45	2738	25.68	4.824	1.002	0.0	1.449
20	30c1b335-67d3-409d-9415-d7442ad51485	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_938_ch_197_strand.fast5		template	3675	1443	31	2200	25.22	0.9640000000000001	1.002	0.0	1.218
21	e57713ea-2db9-428b-af04-3fbb16044dbe	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_4885_ch_221_strand.fast5		template	3149	1424	31	1693	20.29	0.652	0.9590000000000001	0.0	1.2919999999999998
22	bb2f20ea-842f-4a17-ad1d-3887af3d80d5	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_362_ch_323_strand.fast5		template	3202	1426	32	1743	20.99	0.024	0.956	0.0	1.335
23	3ed7adf2-2f38-4988-a6f2-15b85ac57a90	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5213_ch_506_strand.fast5		template	3265	1439	32	1793	20.82	-2.158	0.9940000000000001	0.0	1.25
24	f50339e9-47b7-4a2f-b65d-ea6cafefc9f4	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_13097_ch_324_strand.fast5		template	3513	1370	49	2093	22.81	-0.861	0.993	0.0	1.237
25	2c24f41e-0bc1-403b-89cd-f6c52a005255	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1857_ch_501_strand.fast5		template	3850	1407	33	2409	23.62	-1.6130000000000002	0.9890000000000001	0.0	1.265
26	88c4ddea-d7d2-4946-940f-db7b0caa2cc2	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_15323_ch_204_strand.fast5		template	2904	1112	28	1763	18.88	-0.8390000000000001	0.983	0.0	1.217
27	2e2f753b-f3a1-4142-98c8-586bda9b0f93	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_65131_ch_90_strand.fast5		template	4676	1388	45	3242	29.89	-0.33299999999999996	0.987	0.0	1.232
28	a1c8bad2-53fb-455e-8592-881fd9e4ae12	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_18153_ch_360_strand.fast5		template	3052	1439	30	1582	19.25	-1.791	1.008	0.0	1.2209999999999999
29	b30e89d7-50be-428d-8eac-acaac0e918e1	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5611_ch_311_strand.fast5		template	3377	1371	45	1960	22.06	0.106	0.998	0.0	1.3119999999999998
30	1a26339a-fa8c-43de-9073-9360f3864896	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_9711_ch_506_strand.fast5		template	5229	1364	47	3817	32.3	-2.483	0.986	0.0	1.357
31	e14ade89-505a-4998-9946-4768e5b46337	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_4475_ch_141_strand.fast5		template	5265	1373	47	3844	36.44	-2.4130000000000003	1.001	0.0	1.266
32	06dd12ad-5972-4f2a-a03d-82acfc4deeee	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_22181_ch_174_strand.fast5		template	5202	1342	57	3802	35.18	-2.88	0.9690000000000001	0.0	1.301
33	fe647956-692d-4e79-aecb-3235679edcbc	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1471_ch_272_strand.fast5		template	3628	1378	49	2200	25.32	2.9419999999999997	0.978	0.0	1.4340000000000002
34	952b9216-7f11-49c7-a915-39244cbc6e14	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1582_ch_502_strand.fast5		template	3149	1396	47	1705	19.75	2.1	0.985	0.0	1.278
35	a2e4b5de-a7c2-4fa3-908c-7fed191afea3	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_913_ch_225_strand.fast5		template	3485	1383	51	2050	23.69	-0.49	0.987	0.0	1.3019999999999998
36	2f891293-36cc-4016-9d1c-054eca1ee30d	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6952_ch_151_strand.fast5		template	4549	1417	37	3094	32.78	1.2309999999999999	0.9890000000000001	0.0	1.252
37	c7395b62-c3b6-4e79-aa43-b693da4e5ee9	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6891_ch_355_strand.fast5		template	2758	1458	24	1275	17.66	-2.311	0.9420000000000001	0.0	1.287
38	7b72ad20-8a15-484b-bbb1-534eff36d263	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_864_ch_277_strand.fast5		template	3951	1448	29	2473	25.88	-3.053	0.996	0.0	1.183
39	de43fd11-949f-4399-b3cb-2c6943f9b592	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_128_ch_479_strand.fast5		template	2825	1387	40	1397	18.22	-0.81	0.975	0.0	1.266
40	fbf38604-186e-49eb-8c8e-efa91a3612d0	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1069_ch_372_strand.fast5		template	3503	1411	31	2060	24.53	-1.525	1.002	0.0	1.226
41	f802e906-4bbb-4b7a-a5cf-7f01cb9e5dd3	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3831_ch_72_strand.fast5		template	3708	1433	29	2245	25.01	0.069	1.002	0.0	1.2930000000000001
42	f6aa7cdd-cf4d-4f02-955d-0b167f42cdb9	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1443_ch_85_strand.fast5		template	3349	1369	48	1931	22.39	0.11599999999999999	0.996	0.0	1.297
43	0a3fe9f4-efe7-4462-afba-86ca229af0ab	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3724_ch_471_strand.fast5		template	2999	1398	43	1557	18.45	1.121	0.951	0.0	1.3619999999999999
44	2fdda8fc-621a-415e-baaf-1b088a91302d	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_65062_ch_111_strand.fast5		template	2952	1405	42	1504	18.7	2.506	1.0070000000000001	0.0	1.3019999999999998
45	9f26aeb3-483b-44f8-b64c-37298959eb76	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_18124_ch_24_strand.fast5		template	3090	1397	39	1653	17.03	9.443	0.992	0.0	1.347
46	e93f5d9e-888c-4ce8-8452-d3c2a3018a78	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_8268_ch_299_strand.fast5		template	4569	1366	47	3155	31.7	-3.48	0.995	0.0	1.207
47	f62ad165-9547-419f-b128-e03ee6aa9ea8	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3272_ch_156_strand.fast5		template	2632	1357	45	1229	16.13	0.77	0.991	0.0	1.421
48	c8cf3fc7-15b0-4b2d-9ca8-01f7388e7e7a	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10071_ch_143_strand.fast5		template	599	224	8	366	3.98	-2.461	1.011	0.0	1.291
49	583bd946-ca07-45f2-8e6a-4e6e51c754bc	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_7596_ch_371_strand.fast5		template	3299	1453	28	1817	21.88	-1.138	1.008	0.0	1.198
50	339fd66c-a712-4c7e-b76f-df4108f5be7f	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1164_ch_363_strand.fast5		template	3577	1371	40	2165	21.71	-1.09	0.9840000000000001	0.0	1.327
51	28bdb02f-f8bd-4adb-a447-b24d245d6192	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_2421_ch_27_strand.fast5		template	2374	1365	47	961	14.33	6.125	0.985	0.0	1.2429999999999999
52	af1115bc-f162-4053-b10f-05afbbc13649	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_18696_ch_156_strand.fast5		template	3520	1383	46	2090	25.05	2.537	1.028	0.0	1.262
53	1649cf90-6f31-4ad5-bcd2-ab408df86c9d	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5033_ch_99_strand.fast5		template	5179	1327	57	3794	35.44	1.401	1.0170000000000001	0.0	1.3
54	601345c9-a7a2-49c3-b13b-5535d6359352	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10792_ch_265_strand.fast5		template	3171	1424	34	1712	21.42	3.1519999999999997	0.975	0.0	1.324
55	2132fed7-1005-4181-ad5f-dc0307460291	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6732_ch_327_strand.fast5		template	4113	1366	44	2702	24.3	1.479	1.002	0.0	1.28
56	ccd52eb9-c4a9-442e-aee1-e2e9ffcd08c6	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5938_ch_452_strand.fast5		template	3575	1357	44	2173	21.85	-0.526	1.024	0.0	1.3119999999999998
57	881b449a-baf1-470f-8eb7-3eda1d412082	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_20462_ch_64_strand.fast5		template	3112	1340	31	1740	19.16	2.028	0.996	0.0	1.2890000000000001
58	5a01e565-a3ec-471f-a338-5001ce31e4cc	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_11256_ch_200_strand.fast5		template	1894	623	23	1247	11.93	-0.843	1.002	0.0	1.276
59	307b15a2-5459-4241-a397-e43cedc881fa	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_14711_ch_21_strand.fast5		template	1273	526	24	722	8.06	8.234	0.977	0.0	1.315
60	fc21c2e6-f0cc-4433-88b3-5fe5897ac629	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3516_ch_155_strand.fast5		template	820	370	4	445	4.95	1.138	0.986	0.0	1.308
61	5d6e36ab-1e74-4ca4-aad9-309994d0f871	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_21973_ch_169_strand.fast5		template	3583	1343	28	2211	23.06	4.287	1.001	0.0	1.2109999999999999
62	3fc180b3-3fd4-45c5-8d2c-bad833754f9e	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10069_ch_143_strand.fast5		template	3187	1088	42	2056	20.65	0.182	0.968	0.0	1.276
63	fb0ffbac-f497-49a2-830c-642809010c5c	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6993_ch_16_strand.fast5		template	1636	690	15	930	10.49	6.209	0.996	0.0	1.403
64	16d3c3a0-fcca-439c-a949-2ea456250458	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_23785_ch_439_strand.fast5		template	1837	668	16	1152	12.05	-5.806	0.983	0.0	1.359
65	7927dbba-2012-4d2a-9516-f9a7ce3590b4	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_89_ch_373_strand.fast5		template	1437	532	15	889	9.28	-2.128	0.973	0.0	1.2009999999999998
66	7503b6ff-5752-488f-8679-a9e64d572087	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_20899_ch_493_strand.fast5		template	1632	502	15	1114	10.73	7.478	1.006	0.0	1.683
70	a7aa6921-712f-481e-8496-4a963618b786	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_2444_ch_297_strand.fast5		template	4431	1420	38	2972	31.53	-0.287	0.987	0.0	1.26
71	00831d10-b2ea-4388-89ee-6fc63448e87f	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_13932_ch_439_strand.fast5		template	1866	823	17	1025	12.74	1.453	0.9279999999999999	0.0	1.242
72	da848fa9-1322-4fea-b550-7efb32b014b6	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10740_ch_329_strand.fast5		template	2168	791	28	1348	14.36	1.212	1.011	0.0	1.178
73	271f1333-9d66-471f-9d56-e2198db00b15	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_227_ch_12_strand.fast5		template	2714	789	30	1894	16.38	-0.10400000000000001	0.992	0.0	1.24
74	83a2da07-4f26-4bb7-bd4c-7cecd7adefc0	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5900_ch_198_strand.fast5		template	2072	807	16	1248	13.2	-1.281	0.977	0.0	1.359
75	5101a84b-fd49-45a6-ab81-b00fcc18bab9	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1369_ch_155_strand.fast5		template	2115	729	32	1353	13.7	0.632	1.0190000000000001	0.0	1.145
76	565fb17a-d295-4f59-a4b8-65a34ff4bc13	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_759_ch_215_strand.fast5		template	2372	797	22	1552	14.4	0.33	0.983	0.0	1.254
77	a6068737-f7e3-45d1-a7b9-b27680c9bd7e	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_10181_ch_78_strand.fast5		template	1779	768	27	983	11.52	3.361	1.006	0.0	1.433
78	fa6fa615-f57a-4199-a6ed-bf3a2edb8f6a	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_7847_ch_244_strand.fast5		template	1862	811	17	1033	11.77	-4.989	0.937	0.0	1.261
79	9c712263-806b-4e13-8ba8-c08784c86f29	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_21825_ch_478_strand.fast5		template	3772	747	33	2991	26.41	3.457	1.015	0.0	1.3840000000000001
80	ccd1d2ae-7024-4433-a1ed-d78b67595fa1	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_547_ch_508_strand.fast5		template	2140	785	20	1334	14.64	-3.392	0.9790000000000001	0.0	1.225
81	74c212c7-71ea-4e80-b527-753c9513fc36	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_20298_ch_144_strand.fast5		template	1944	778	15	1150	12.24	-5.945	0.8740000000000001	0.0	1.546
82	eb85f477-a079-43df-bb0c-19b019b1f7f3	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_19993_ch_433_strand.fast5		template	1982	764	26	1191	11.72	1.768	0.9640000000000001	0.0	1.2329999999999999
83	a4ce1586-4119-4380-9975-58e62efbcfc6	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_14292_ch_79_strand.fast5		template	1947	792	17	1137	14.26	-0.223	0.98	0.0	1.196
84	b313bfbe-175d-4878-bd4c-85d5f3bc6636	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_7377_ch_373_strand.fast5		template	2612	759	24	1828	17.52	1.328	1.0	0.0	1.3159999999999998
85	5720c876-4146-47cd-beaf-ba2b7a522d42	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3533_ch_261_strand.fast5		template	2143	755	20	1367	13.65	2.67	0.934	0.0	1.399
86	63b55982-5497-44e0-bd0a-a8bee76a08e3	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_9117_ch_504_strand.fast5		template	2020	731	23	1265	13.63	-0.136	0.9740000000000001	0.0	1.251
87	9cd18be0-7cd3-42c6-95db-a0878d4baa2a	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_16566_ch_356_strand.fast5		template	1441	697	26	717	9.31	0.787	0.978	0.0	1.432
88	6bad839d-ca41-4afa-855f-57ae4a3fcd4a	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_14165_ch_493_strand.fast5		template	2142	743	19	1379	14.39	2.135	1.015	0.0	1.266
89	7fd308ab-c3ae-47ff-8a9e-db550b5f814d	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3744_ch_37_strand.fast5		template	1568	743	20	804	9.84	-0.98	1.003	0.0	1.1540000000000001
90	a5eae205-24ce-4cac-bd67-a1b09345131f	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_5372_ch_496_strand.fast5		template	1572	753	19	799	10.23	1.6480000000000001	0.991	0.0	1.238
91	e07feaf2-11a6-4ad9-a80e-d2948beb48fc	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_23430_ch_76_strand.fast5		template	1819	723	24	1071	12.49	2.011	1.005	0.0	1.3880000000000001
92	d9d677f9-bd82-4921-bd75-58fbe59695a7	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_16104_ch_85_strand.fast5		template	2179	710	26	1442	15.07	0.109	0.998	0.0	1.364
93	c82578e0-a3fd-4952-b578-facb44adf49f	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_122_ch_248_strand.fast5		template	2140	752	15	1372	14.43	-3.6860000000000004	0.9890000000000001	0.0	1.212
94	e2ab615b-5ff7-47b3-a028-dd589198f6c6	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_1753_ch_442_strand.fast5		template	1556	743	19	793	10.06	-1.186	0.991	0.0	1.2990000000000002
95	fbd67856-6ba5-4c7a-bc27-4260c5be6b91	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_15030_ch_304_strand.fast5		template	2039	737	19	1282	13.29	2.485	1.058	0.0	1.18
96	9f86b01a-887a-454b-a9b7-5c300fdb7cbe	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_15769_ch_334_strand.fast5		template	2073	704	27	1341	13.45	3.9019999999999997	1.012	0.0	1.273
97	aebfad2d-c790-43fc-8dc9-4729892ef841	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_233_ch_44_strand.fast5		template	1973	746	17	1209	13.61	0.29	0.985	0.0	1.268
98	bcbececd-1e6b-44bf-8f4a-524a1d563d95	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_4915_ch_497_strand.fast5		template	2732	684	27	2020	18.17	2.628	0.9359999999999999	0.0	1.43
99	ed8f8d37-9b37-4810-9a01-238d4c333a61	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_542_ch_417_strand.fast5		template	2176	734	21	1420	14.55	-5.324	1.0	0.0	1.227
100	2358c4d4-735a-4b58-ab33-b12980f937fa	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_6152_ch_299_strand.fast5		template	1683	730	21	931	11.61	-0.473	0.993	0.0	1.192
101	1d05bcc3-0140-40cb-9606-89f1f8c78c82	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_3178_ch_369_strand.fast5		template	1791	736	19	1035	11.08	1.3090000000000002	0.982	0.0	1.297
102	8cd87155-cff8-46bf-abd4-a0596fdad133	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_293_ch_463_strand.fast5		template	2365	719	16	1629	15.82	-1.0859999999999999	0.9620000000000001	0.0	1.3969999999999998
103	f19c69aa-721b-45bd-9219-f829332c75c9	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_9026_ch_500_strand.fast5		template	1174	543	16	614	7.39	-0.745	1.004	0.0	1.235
104	116e2ce2-de1c-4fa5-96ed-38c8967107f0	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_7658_ch_337_strand.fast5		template	1672	719	23	929	11.17	1.5219999999999998	0.985	0.0	1.256
105	8e145754-8987-40d7-a823-c0df5d86a565	fast5/GISPC936_20181120_FAK27249_MN18749_sequencing_run_SHO_20112018_EmptyE2_9_36177_read_75588_ch_324_strand.fast5		template	1466	730	19	716	9.76	-1.156	0.987	0.0	1.2229999999999999
